no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto,cabang,review_length,ulasan_clean,sentiment,pos_words,neg_words,sentiment_score
702,,yln vdla,5,3 minggu lalu,"enakkk dan bgusss, tp syg varian maknan nya ga sebanyak dulu skrng cmn ada cake dan croisang tp untuk smua y masih enakk jad joss🤟🏻🤟🏻",,Tidak,C28 Urip Sumoharjo,133,enak bgus varian maknan banyak dulu skrng cake croisang smua enak bagus,positif,4,0,4
703,,Fina Anggraini,5,3 minggu lalu,Tempat yang bagus,,Tidak,C28 Urip Sumoharjo,17,tempat bagus,positif,1,0,1
709,,Padu Setiawan,5,4 minggu lalu,"Tempat nya keren cozy, luas bersih, pelayanan nya mantap. Rekomended The Best 👍👍👍",,Tidak,C28 Urip Sumoharjo,81,tempat bagus cozy luas bersih layan mantap rekomended best,positif,6,0,6
717,,Yandigsa,5,4 minggu lalu,Konsep c28 social space di urip sumoharjo ini kekinian dan cozy banget buat nongki baik sendiri maupun ramean.,,Tidak,C28 Urip Sumoharjo,110,konsep social space urip sumoharjo kini cozy banget buat nongki baik sendiri maupun ramean,positif,2,0,2
724,,Cindy Perwitasari,5,4 minggu lalu,Tempatnya keren👍🏻,,Tidak,C28 Urip Sumoharjo,17,tempat bagus,positif,1,0,1
726,,Arga Maulana,5,4 minggu lalu,"cloud choconya enak,tempatnya bagus,kak enggar ramah dan service nya bagus",,Tidak,C28 Urip Sumoharjo,74,cloud choconya enak tempat bagus enggar ramah service bagus,positif,4,0,4
727,,Gilang,5,4 minggu lalu,suasana bagus dan nyaman buat foto foto,,Tidak,C28 Urip Sumoharjo,39,suasana bagus nyaman buat foto,positif,2,0,2
734,,Akbar Maulana,5,sebulan lalu,estetik banget tempatnya kopi nya juga enak staf nya ramah kak enggar juga baik banget juara deh pelayanan sama kopinya,,Tidak,C28 Urip Sumoharjo,119,estetik banget tempat kopi enak staf ramah enggar baik banget juara layan sama kopi,positif,4,0,4
736,,natalia davina,5,sebulan lalu,minumannya enak dan harga menunya worth it,,Tidak,C28 Urip Sumoharjo,42,minum enak harga menu worth,positif,2,0,2
739,,zidane riyadi,5,sebulan lalu,bagus,,Tidak,C28 Urip Sumoharjo,5,bagus,positif,1,0,1
742,,Yollanda Ramadhani,5,sebulan lalu,"tempat nya estetik redvelvetnya juara,kak enggak juga baik",,Tidak,C28 Urip Sumoharjo,58,tempat estetik redvelvetnya juara enggak baik,positif,2,0,2
744,,Yahya Oswasa Putra,5,sebulan lalu,mba kasir cantik cantik sama mas mas nya ganteng semua pelayanan nya ramah,,Tidak,C28 Urip Sumoharjo,74,kasir cantik sama ganteng semua layan ramah,positif,2,0,2
745,,Sodronn Cees,5,sebulan lalu,pelayananya ramah mas mas nya ganteng semua,,Tidak,C28 Urip Sumoharjo,43,pelayananya ramah ganteng semua,positif,1,0,1
746,,reckto vino,5,sebulan lalu,nyeni mase,,Tidak,C28 Urip Sumoharjo,10,nyeni mase,positif,0,0,0
758,,Vero Nica,5,sebulan lalu,suasana dan instalasi seni yang bagus!,,Tidak,C28 Urip Sumoharjo,38,suasana instalasi seni bagus,positif,1,0,1
759,,Mel Kior,5,sebulan lalu,enakk pelayananya ramah hehehe 2YK,,Tidak,C28 Urip Sumoharjo,34,enak pelayananya ramah,positif,2,0,2
760,,Albion Davin keandra,5,sebulan lalu,tempatnya baguss minumnya rasanya pas makanannya juga pas,,Tidak,C28 Urip Sumoharjo,57,tempat baguss minum rasa makan,positif,0,0,0
761,,Faiz Mici,5,sebulan lalu,"baguussss, pelayanan nya baik",,Tidak,C28 Urip Sumoharjo,29,baguus layan baik,positif,1,0,1
762,,ABRAM GG,5,sebulan lalu,Kerenn,,Tidak,C28 Urip Sumoharjo,6,kerenn,positif,0,0,0
763,,Rafha Riyanto,5,sebulan lalu,"matchanya enak, ga terlalu manis",,Tidak,C28 Urip Sumoharjo,32,matchanya enak terlalu manis,positif,2,0,2
771,,Crispy Paper,5,sebulan lalu,Pekerjaan kami terpisah,,Tidak,C28 Urip Sumoharjo,23,kerja pisah,positif,0,0,0
801,,Ulung Putra,5,sebulan lalu,kopi nya enak ga perlu nunggu lama terus tempat nya juga oke buat foto”,,Tidak,C28 Urip Sumoharjo,71,kopi enak nunggu lama terus tempat buat foto,positif,1,1,0
810,,Syazwina Rahmawati,5,sebulan lalu,"tempatnya seru buat nongkrong sama temen""
minumannya juga enak",,Tidak,C28 Urip Sumoharjo,63,tempat seru buat nongkrong sama temen minum enak,positif,1,0,1
811,,Aulia Chonsatul,5,sebulan lalu,WAJIB KE SINI SIAPAPUN ITU🤩‼️,,Tidak,C28 Urip Sumoharjo,29,wajib sini siapa,positif,0,0,0
816,,marsha sha,5,sebulan lalu,recommended bgt buat yang suka matcha,,Tidak,C28 Urip Sumoharjo,37,recommended banget buat suka matcha,positif,2,0,2
817,,Keyra Tzy,5,sebulan lalu,"Konsep baru yang unik dan eksploratif untuk suasana ruang interior-nya. Buat minuman kopi enak, wajib nyobain disini sih",,Tidak,C28 Urip Sumoharjo,120,konsep baru unik eksploratif suasana ruang interior buat minum kopi enak wajib nyobain sini,positif,1,0,1
819,,Elygia inge,5,sebulan lalu,"Tempatnya baguss cocok untuk foto-foto sukaa💫!
Wildan juga baik ramah sekali!",,Tidak,C28 Urip Sumoharjo,78,tempat baguss cocok foto sukaa wildan baik ramah sekali,positif,3,0,3
820,,Natalie Angel,5,sebulan lalu,Windan orgnya ramah baik hatii,,Tidak,C28 Urip Sumoharjo,30,windan orgnya ramah baik hati,positif,2,0,2
821,,Only One,5,sebulan lalu,Wildan asik,,Tidak,C28 Urip Sumoharjo,11,wildan asik,positif,0,0,0
822,,samm midi,5,sebulan lalu,"Tempat keren buat nongki dan asik , kak wildan yg asik dengan pelayanan nya , hatur suksma , dan paling rekomen americanonya",,Tidak,C28 Urip Sumoharjo,124,tempat bagus buat nongki asik wildan asik layan hatur suksma paling recommended americanonya,positif,2,0,2
823,,Naning 29,5,sebulan lalu,Pelayanan yang baik oleh Pak Wildan,,Tidak,C28 Urip Sumoharjo,35,layan baik wildan,positif,1,0,1
824,,Karisma Novia,5,sebulan lalu,"kakak wildan orangnya baik hati banget, kocak , ramah juga",,Tidak,C28 Urip Sumoharjo,58,kakak wildan orang baik hati banget kocak ramah,positif,2,0,2
825,,Mitchy Lentey,5,sebulan lalu,"Ramah,estetik dan karyawannya baik-baik",,Tidak,C28 Urip Sumoharjo,39,ramah estetik karyawannya baik,positif,2,0,2
826,,Michelle Kaligis,5,sebulan lalu,kakaknya green flag,,Tidak,C28 Urip Sumoharjo,19,kakak green flag,positif,0,0,0
827,,Sinta Anggraini,5,sebulan lalu,"tempatnya super cozyyy,pelayanannya jg okee,ramah ramah terutama mas wildan",,Tidak,C28 Urip Sumoharjo,75,tempat super cozy layan okee ramah utama wildan,positif,2,0,2
828,,Astri Maharani,5,sebulan lalu,"tempatnya cozy abizzz, pelayanannya bintang 5 apalagii mas wildann",,Tidak,C28 Urip Sumoharjo,66,tempat cozy abiz layan bintang apalagi wildann,positif,1,0,1
829,,Muhammad Fathan Firdaus,5,sebulan lalu,"mas wildan sama mbak tara ngasih pelayanan yang oke banget. pokoknya wajib coba C28 si, apalagi kalo yg shift mereka.",,Tidak,C28 Urip Sumoharjo,117,wildan sama mbak tara ngasih layan banget pokok wajib coba apalagi shift,positif,0,0,0
830,,Bima Palgunadi,5,sebulan lalu,"Mas Wildan dan Mbak Tara salah satu staff dan baritsanya bagus nii, keren juga tempatnya, pelayanannya keren banget.. jos",,Tidak,C28 Urip Sumoharjo,121,wildan mbak tara salah satu staff baritsanya bagus tempat layan bagus banget bagus,positif,3,0,3
832,,Kamen Riderr,5,sebulan lalu,oke baik,,Tidak,C28 Urip Sumoharjo,8,baik,positif,1,0,1
841,,panoonya4,5,sebulan lalu,sangat keren tempat nya,,Tidak,C28 Urip Sumoharjo,23,sangat bagus tempat,positif,1,0,1
844,,isnaini maulida,5,sebulan lalu,tempatnya aesthetic nyamannn bangettt,,Tidak,C28 Urip Sumoharjo,37,tempat aesthetic nyaman banget,positif,2,0,2
857,,Venn,5,sebulan lalu,pemandangan yang bagus,,Tidak,C28 Urip Sumoharjo,22,pandang bagus,positif,1,0,1
868,,Milfia Putri,5,sebulan lalu,"Yang suka matchaaa,, kudu mampir nihh,, matchaa nya enak bangeddd😋😋 …",,Tidak,C28 Urip Sumoharjo,69,suka matcha kudu mampir nihh matchaa enak banged,positif,2,0,2
880,,Muh Arrasyad Ramadhan Hastoro,5,sebulan lalu,kereennnn dan enakk,,Tidak,C28 Urip Sumoharjo,19,kereen enak,positif,1,0,1
881,,Muhammad Gama,5,sebulan lalu,Pelayanan sangat bagusss.,,Tidak,C28 Urip Sumoharjo,25,layan sangat bagus,positif,1,0,1
882,,Kevin Tri,5,sebulan lalu,"overrall tempatnya bagus,pelayanan cepet,kasir ramah",,Tidak,C28 Urip Sumoharjo,52,overrall tempat bagus layan cepet kasir ramah,positif,2,0,2
885,,aneta Lutfiana,5,sebulan lalu,pelayanan ramah dan minumannya enak suasana nyaman buat nongkrong,,Tidak,C28 Urip Sumoharjo,65,layan ramah minum enak suasana nyaman buat nongkrong,positif,3,0,3
888,,Dinda Putri,5,sebulan lalu,enjoy bgt buat chill” 🥰,,Tidak,C28 Urip Sumoharjo,23,enjoy banget buat chill,positif,0,0,0
902,,Aal,5,sebulan lalu,"keren, nyaman",,Tidak,C28 Urip Sumoharjo,13,bagus nyaman,positif,2,0,2
906,,apri yanti,5,sebulan lalu,"tempatnya keren banget, minumannya suka, cheesecake nya best banget",,Tidak,C28 Urip Sumoharjo,67,tempat bagus banget minum suka cheesecake best banget,positif,3,0,3
915,,Reza Qodri,5,sebulan lalu,"pelayanan asik, baristanya ramah",,Tidak,C28 Urip Sumoharjo,32,layan asik baristanya ramah,positif,1,0,1
916,,Anna Fzk4,5,sebulan lalu,"Pelayanan nya bagus banget, apalagi mas wildannnn nya✨✨✨✨",,Tidak,C28 Urip Sumoharjo,57,layan bagus banget apalagi wildan,positif,1,0,1
917,,Vita Ristiana,5,sebulan lalu,"Tempatnya cakep untuk foto. Enak untuk nugas, makanan enak.
Saya juga mendapatkan pelayanan baik dari mas wildan, dari mencari tempat sampai pesen makanan.. goodjob☺️",,Tidak,C28 Urip Sumoharjo,167,tempat cakep foto enak nugas makan enak dapat layan baik wildan cari tempat sampai sen makan goodjob,positif,3,0,3
948,,09Devina Anggita,5,sebulan lalu,pelayanannya sangat gercepp,,Tidak,C28 Urip Sumoharjo,27,layan sangat gercepp,positif,0,0,0
952,,Fayy Pat,5,sebulan lalu,Pelayanan bagus enak dan tempat bagus,,Tidak,C28 Urip Sumoharjo,37,layan bagus enak tempat bagus,positif,3,0,3
953,,Nayyaka Bernadine,5,sebulan lalu,baik bagus ramah,,Tidak,C28 Urip Sumoharjo,16,baik bagus ramah,positif,3,0,3
954,,Mario Esguerra,5,sebulan lalu,"Great place buat nongkrong! Semua cabang c28 ga ada yang gagal 😻

Recommended 10/10!",,Tidak,C28 Urip Sumoharjo,86,great place buat nongkrong semua cabang gagal recommended,positif,2,0,2
955,,Izka Adika,5,sebulan lalu,"tempatnya nayaman bgt, enak kalo pagi pagi kesini karena belum terlalu rame jadi lebih leluasa kalo mau foto foto wkwk",,Tidak,C28 Urip Sumoharjo,118,tempat nayam banget enak pagi kesini belum terlalu rame jadi lebih leluasa foto,positif,1,0,1
959,,layinatul ichtafiana,5,sebulan lalu,direkomendasikan,,Tidak,C28 Urip Sumoharjo,16,rekomendasi,positif,1,0,1
960,,Wildan Wildan,5,sebulan lalu,Seru sekali tempatnya asik dan keC,,Tidak,C28 Urip Sumoharjo,34,seru sekali tempat asik,positif,0,0,0
967,,Zulva Alfa,5,sebulan lalu,First time cave nya enak nyaman minuman enak,,Tidak,C28 Urip Sumoharjo,44,first time cave enak nyaman minum enak,positif,3,0,3
968,,Firda Rosalinda,5,sebulan lalu,First time cafe disini bagus banget ruangan nyaman minuman enak,,Tidak,C28 Urip Sumoharjo,63,first time cafe sini bagus banget ruang nyaman minum enak,positif,3,0,3
971,,frn film,5,sebulan lalu,"Minuman enak, suasana juga enak biat nongkrong🫶",,Tidak,C28 Urip Sumoharjo,47,minum enak suasana enak biat nongkrong,positif,2,0,2
972,,Nurrohadatul Aisy,5,sebulan lalu,Enakk bangett,,Tidak,C28 Urip Sumoharjo,13,enak banget,positif,1,0,1
973,,Raline,5,sebulan lalu,Enak,,Tidak,C28 Urip Sumoharjo,4,enak,positif,1,0,1
978,,Hanifa Putri Nazalla,5,sebulan lalu,cocok bgtt buat anak muda terutama gen z wkwk rekomend bgt si nongkrong disinii for all pelayanan makanan minuman bintang 5!!! next bkl kesinii lgii siiii>.<,,Tidak,C28 Urip Sumoharjo,157,cocok banget buat anak muda utama recommended banget nongkrong sini layan makan minum bintang next kesini lgii,positif,2,0,2
979,,Foster.,5,sebulan lalu,"Red velvetnya pas banget manisnya, tempatnya nyaman keren",,Tidak,C28 Urip Sumoharjo,57,velvetnya banget manis tempat nyaman bagus,positif,3,0,3
984,,Irfan Afendi,5,sebulan lalu,"Tempat cozy, pelayanan ramah dan friendly. Termasuk salah satu pelayan bernama Wildan sangat sangat friendly dan cocok sbg temen baru 🤩",,Tidak,C28 Urip Sumoharjo,135,tempat cozy layan ramah friendly masuk salah satu layan nama wildan sangat friendly cocok temen baru,positif,3,0,3
985,,Resi Pranaya,5,sebulan lalu,"Tempat nya asik, enak buat ngopi. Kak wildan orangnya ramah sekali, asik lah pokoknya wkwkw",,Tidak,C28 Urip Sumoharjo,91,tempat asik enak buat ngopi wildan orang ramah sekali asik pokok,positif,2,0,2
988,,Diva Ramadhani,5,sebulan lalu,Tempatnya asik ngobrol sama kak Wildan seru parah,,Tidak,C28 Urip Sumoharjo,49,tempat asik ngobrol sama wildan seru parah,positif,0,0,0
989,,Diah Prehat,5,sebulan lalu,"pelayanannya oke banget, kakaknya ramah, tempat, makan, minumnya enak, terkonsep",,Tidak,C28 Urip Sumoharjo,80,layan banget kakak ramah tempat makan minum enak konsep,positif,2,0,2
990,,aditya R,5,Diedit sebulan lalu,terlebih lagi pelayanan dari mas leon yang sangat memuaskan dan crew yang lain,,Tidak,C28 Urip Sumoharjo,78,lebih lagi layan leon sangat muas crew lain,positif,0,0,0
991,,Cahyo Djawane,5,sebulan lalu,"bagus pelayananya baik ramah,tempatnya tidak membosankan jos markotop well
makasih mas leon",,Tidak,C28 Urip Sumoharjo,92,bagus pelayananya baik ramah tempat bosan bagus markotop well makasih leon,positif,4,0,4
992,,amel chesa,5,sebulan lalu,kerennn,,Tidak,C28 Urip Sumoharjo,7,bagus,positif,1,0,1
1002,,Amanda Nur,5,sebulan lalu,NIKMATI YA 🤙🏻,,Tidak,C28 Urip Sumoharjo,13,nikmat,positif,1,0,1
1006,,salsahoran,1,sebulan lalu,"mbak mbaknya judes, uang yang kami bayar blm masuk di kasir padahal sudah masuk . bukan mbak yang pakai koyo, yang kulitnya lebih gelap (bukan rasis) . setelah sekitar 2 jam baru di kembalikan tanpa eenyum maaf makasih",,Tidak,C28 Urip Sumoharjo,218,mbak judes uang bayar belum masuk kasir masuk bukan mbak pakai koyo kulit lebih gelap bukan ras telah sekitar baru kembali tanpa eenyum maaf makasih,negatif,0,0,0
1007,,Fida Amatullah,5,sebulan lalu,artsy dan gen z abiesss,,Tidak,C28 Urip Sumoharjo,23,artsy abies,positif,0,0,0
1009,,wafiqqq 123,5,sebulan lalu,Pelayananya enkk topppp,,Tidak,C28 Urip Sumoharjo,23,pelayananya enkk bagus,positif,1,0,1
1026,,refarika farhan,5,sebulan lalu,nyaman bgt tempatnya sukaa dehh pelayanan juga oke,,Tidak,C28 Urip Sumoharjo,50,nyaman banget tempat sukaa dehh layan,positif,1,0,1
1041,,Polo Gaming,5,sebulan lalu,Sangat rekomendasi,,Tidak,C28 Urip Sumoharjo,18,sangat rekomendasi,positif,1,0,1
1042,,Villa Ay,5,sebulan lalu,pelayanannya sngat baik,,Tidak,C28 Urip Sumoharjo,23,layan sngat baik,positif,1,0,1
1044,,Noval Raihzarkasy,5,sebulan lalu,pelayanannya bagus banget,,Tidak,C28 Urip Sumoharjo,25,layan bagus banget,positif,1,0,1
1045,,salsabila alda,5,sebulan lalu,"Cepatt pelayanann dan ramah,caffe  idamaan sekalii",,Tidak,C28 Urip Sumoharjo,50,cepatt pelayanann ramah caffe idamaan sekali,positif,1,0,1
1046,,Lubnayya Bilqis Nabila,5,sebulan lalu,"pelayanan oke, cepat, satset JOSJIS",,Tidak,C28 Urip Sumoharjo,35,layan cepat satset josjis,positif,1,0,1
1047,,Kiki Berliana R,5,sebulan lalu,pelayanan yang baik,,Tidak,C28 Urip Sumoharjo,19,layan baik,positif,1,0,1
1048,,Rizkiya Agnes,5,sebulan lalu,matcha latte nyaa enakk,,Tidak,C28 Urip Sumoharjo,23,matcha latte nyaa enak,positif,1,0,1
1049,,Alif nur Aziz,5,sebulan lalu,"pelayanan bagus, minuman juga okee suasana mantap",,Tidak,C28 Urip Sumoharjo,49,layan bagus minum okee suasana mantap,positif,2,0,2
1050,,Raffy,5,sebulan lalu,pelayangan oke bgtt,,Tidak,C28 Urip Sumoharjo,19,layang banget,positif,0,0,0
1054,,Aqil Khairan,5,sebulan lalu,"tempatnya estetik,kak enggar juga baik banget",,Tidak,C28 Urip Sumoharjo,45,tempat estetik enggar baik banget,positif,1,0,1
1061,,Vincentia Palupi,5,sebulan lalu,sukaa bgt sama tempatnyaa🫶🏼,,Tidak,C28 Urip Sumoharjo,27,sukaa banget sama tempatnyaa,positif,0,0,0
1062,,Abrillia Fitriani,5,sebulan lalu,Keren dan nyaman tempatnya! Kopi dan pastrynya jg enak bgt!,,Tidak,C28 Urip Sumoharjo,59,bagus nyaman tempat kopi pastrynya enak banget,positif,3,0,3
1064,,DAMAYANTI KUSUMA DEWI,5,sebulan lalu,Tempatnya bagus dan nyaman untuk belajar,,Tidak,C28 Urip Sumoharjo,40,tempat bagus nyaman ajar,positif,2,0,2
1065,,Ayu Dewi Kurnia,5,sebulan lalu,Pelayanannya oke banget minumannya enak enak,,Tidak,C28 Urip Sumoharjo,44,layan banget minum enak,positif,1,0,1
1066,,Adinda Syahrani,5,sebulan lalu,taro nya enak🫰🏻🫰🏻 …,,Tidak,C28 Urip Sumoharjo,19,taro enak,positif,1,0,1
1067,,anna Sophia16,5,sebulan lalu,tempat nya bagus untuk foto’ cantik ala’ tiktok. main sama teman sambil nongki juga enak..apalagi pelayanan juga ramah..🥰 minuman juga sesuai dan nikmat,,Tidak,C28 Urip Sumoharjo,152,tempat bagus foto cantik tiktok main sama teman sambil nongki enak apalagi layan ramah minum sesuai nikmat,positif,5,0,5
1075,,Anisa Nurul 'Aini,5,sebulan lalu,"kece abiez, lychee yakult nya enak seger",,Tidak,C28 Urip Sumoharjo,40,bagus abiez lychee yakult enak seger,positif,2,0,2
1078,,nanda anindya,5,sebulan lalu,Pelayanan ramah,,Tidak,C28 Urip Sumoharjo,15,layan ramah,positif,1,0,1
1079,,Abyan Fatahilah (Loli slayer),5,sebulan lalu,pelayanan ramah,,Tidak,C28 Urip Sumoharjo,15,layan ramah,positif,1,0,1
1083,,Adel Kwok,5,sebulan lalu,"Caffe 24 jam , enk buat nongki saat gabut",,Tidak,C28 Urip Sumoharjo,41,caffe enak buat nongki saat gabut,positif,1,0,1
1090,,Nabilaaa Fallaah,5,sebulan lalu,sangat bagus,,Tidak,C28 Urip Sumoharjo,12,sangat bagus,positif,1,0,1
1092,,Jno Jono,5,sebulan lalu,"Tempatnya nyaman bet dahh, kalcer abizz",,Tidak,C28 Urip Sumoharjo,39,tempat nyaman dahh kalcer abizz,positif,1,0,1
1095,,Dhina Novia,5,sebulan lalu,baik ramah,,Tidak,C28 Urip Sumoharjo,10,baik ramah,positif,2,0,2
1096,,Laksita Rahma,5,sebulan lalu,tempatnya aesthetic menunya variatiff dan pelayanannya sangatt ramahh😍,,Tidak,C28 Urip Sumoharjo,70,tempat aesthetic menu variatiff layan sangatt ramahh,positif,1,0,1
1097,,Rayhana Chessa M,5,sebulan lalu,Cafe ter skennaaa wajib bgt ke sinii kopi nyaaa enaaa n suasana nya gaoll abiezz,,Tidak,C28 Urip Sumoharjo,80,cafe skenna wajib banget sini kopi suasana gaoll abiezz,positif,0,0,0
1102,,Pavlov_ Eva Br. Nainggolan,5,sebulan lalu,"Tempatnya sangat bagus dan asik bgt, suasananya sangat seru",,Tidak,C28 Urip Sumoharjo,59,tempat sangat bagus asik banget suasana sangat seru,positif,1,0,1
1107,,17_JosephElkanArioSalvatorus,5,sebulan lalu,PELAYANAN CEPAT KILAT MANTAP,,Tidak,C28 Urip Sumoharjo,28,layan cepat kilat mantap,positif,2,0,2
1108,,05_Feno,5,sebulan lalu,udah di akun satunya,,Tidak,C28 Urip Sumoharjo,20,udah akun satu,positif,0,0,0
1110,,Dandi Nugroho,5,sebulan lalu,"pelayanan ramah
tapi ikat helm diputusin kang parkir",,Tidak,C28 Urip Sumoharjo,53,layan ramah ikat helm diputusin kang parkir,positif,1,0,1
1121,,raina febriyantari,5,sebulan lalu,minumnya enakk tempatnya pw,,Tidak,C28 Urip Sumoharjo,27,minum enak tempat,positif,1,0,1
1123,,Jesica Andriani,5,sebulan lalu,"pelayanan ramah bgttttt, banyak spot fotonya yang pasti bikin foto kalian esthetik

untuk pelayanan dari kak wildan sangat sopan dan ramahhh polll bestttttt!!",,Tidak,C28 Urip Sumoharjo,160,layan ramah banget banyak spot foto pasti bikin foto esthetik layan wildan sangat sopan ramah best,positif,3,0,3
1124,,Fidya Nur Rohmannisa,5,sebulan lalu,"menu barunya enakk, matchanya ok!! pelayanan ok, ga bingung cari tempat karna pertama dateng langsung di arahin masnyaa, pas disana di arahin mas wildan, thankyou c28 for good experience 😇😇😍 …",,Tidak,C28 Urip Sumoharjo,192,menu baru enak matchanya layan bingung cari tempat karna pertama dateng langsung arahin masnyaa sana arahin wildan thankyou good experience,positif,2,0,2
1125,,Adzra Afifah Nurullana,5,sebulan lalu,Pesen menu barunya yang Cloudy Matcha dan turns out enak bgt! very creamy😋 Pelayanannya ok banget dari timnya terutama Mas Wildan yang very helpful. Keep out the good work!,,Tidak,C28 Urip Sumoharjo,172,sen menu baru cloudy matcha turns enak banget very creamy layan banget tim utama wildan very helpful keep good work,positif,3,0,3
1126,,Auliya Firyal Zahrah,5,sebulan lalu,"Secara keseluruhan pelayanannya bagus terutama dari Wildan, suasana dan kopinya juga enak. Pilihan yang bagus untuk nongkrong di kafe Jogja 👍🏼",,Tidak,C28 Urip Sumoharjo,142,cara seluruh layan bagus utama wildan suasana kopi enak pilih bagus nongkrong kafe jogja,positif,3,0,3
1127,,Nanda Putri,5,sebulan lalu,"tempatnya cozy, cocok buat nugas dan nongkrong.",,Tidak,C28 Urip Sumoharjo,47,tempat cozy cocok buat nugas nongkrong,positif,2,0,2
1130,,Ulfa Rahmawati,5,sebulan lalu,"Tempatnya nyaman, ada photoboxnya juga, cloud lattenya enakk!!",,Tidak,C28 Urip Sumoharjo,62,tempat nyaman photoboxnya cloud lattenya enak,positif,2,0,2
1131,,zahra znry,5,sebulan lalu,"ka wildan super duper caree dan ramah banget, dari awal dateng pelayanannya bagus banget, kopinya juga enak banget!!!",,Tidak,C28 Urip Sumoharjo,117,wildan super duper caree ramah banget awal dateng layan bagus banget kopi enak banget,positif,3,0,3
1137,,gerardd mahardika,5,sebulan lalu,"ramah, aman baguss tempatnya",,Tidak,C28 Urip Sumoharjo,28,ramah aman baguss tempat,positif,1,0,1
1138,,Ray Chand,5,sebulan lalu,"suasana nyaman , kopi enak ,",,Tidak,C28 Urip Sumoharjo,28,suasana nyaman kopi enak,positif,2,0,2
1140,,ria widi hastuti,5,sebulan lalu,"bagus banget tempatnya!! pelayanan nya juga rama recomend sih buat tmn""",,Tidak,C28 Urip Sumoharjo,71,bagus banget tempat layan rama recomend buat,positif,1,0,1
1141,,Novi Mayangsari,5,sebulan lalu,"Bagus, tempatnya estetik banget cocok buat nongkrong",,Tidak,C28 Urip Sumoharjo,52,bagus tempat estetik banget cocok buat nongkrong,positif,2,0,2
1142,,Arif Kurniawan,5,sebulan lalu,"Tempat yg bagus buat nikmatin waktu sendiri maupun sama temann, mantapp",,Tidak,C28 Urip Sumoharjo,71,tempat bagus buat nikmatin waktu sendiri maupun sama temann mantap,positif,2,0,2
1143,,king repal,5,sebulan lalu,"pelayanan ramah,coffe, non coffe enak,disert enak, spot foto banyak, tempatnya nyaman",,Tidak,C28 Urip Sumoharjo,85,layan ramah kopi enak disert enak spot foto banyak tempat nyaman,positif,4,0,4
1144,,Muhammad Agis,5,sebulan lalu,mantap tempat nya luas dan terjangkau (kak ahnaf),,Tidak,C28 Urip Sumoharjo,49,mantap tempat luas jangkau ahnaf,positif,2,0,2
1146,,isyana Kamila,5,sebulan lalu,"tempatnya cozyyy, pelayanannya ramahhh, kopinya enakkkk topp pokoknyaa mahh",,Tidak,C28 Urip Sumoharjo,75,tempat cozy layan ramah kopi enak topp pokoknyaa mahh,positif,3,0,3
1149,,adam heru,5,sebulan lalu,"Tempatnya cozy, kopi nya juga enak. Bakal kesini terus si",,Tidak,C28 Urip Sumoharjo,57,tempat cozy kopi enak bakal kesini terus,positif,2,0,2
1150,,sarah aliyul,5,sebulan lalu,"Cozy, Enak, Pistachio Matcha Oat nya enak banget!",,Tidak,C28 Urip Sumoharjo,49,cozy enak pistachio matcha enak banget,positif,3,0,3
1152,,Ananda Thalia,5,sebulan lalu,enak kalcer abiz,,Tidak,C28 Urip Sumoharjo,16,enak kalcer abiz,positif,1,0,1
1153,,Muhammad Fiqram,5,sebulan lalu,"semenjak mas wildan di c28, rasa ingin kembali semakin besar 🙏 …",,Tidak,C28 Urip Sumoharjo,64,semenjak wildan rasa makin besar,positif,0,0,0
1155,,Sandi Anggara,5,sebulan lalu,"Tempatnya bagus banget, pelayanan ramah banget",,Tidak,C28 Urip Sumoharjo,46,tempat bagus banget layan ramah banget,positif,2,0,2
1156,,AyuChristiana VidyAngelia,2,sebulan lalu,Harga parkir mobil gamasuk akal bapaktua rambut putih mobil sebelah diminta uang 5rb kami dimintai 10rb dgn alasan mobil sblh orng dalam pdhl jelas” sama aja ke cafe seperti pelanggan biasa,,Tidak,C28 Urip Sumoharjo,189,harga parkir mobil gamasuk akal bapaktua rambut putih mobil belah minta uang minta alas mobil sblh orng pdhl jelas sama cafe langgan biasa,negatif,0,0,0
1157,,Istia Nova,1,sebulan lalu,"Tukang parkir ga jelas, parkir mobil 10k dan sebelah ditarik 5k katanya karna orng dalam. Gjls bgt",,Tidak,C28 Urip Sumoharjo,98,tukang parkir jelas parkir mobil belah tarik kata karna orng gjls banget,negatif,0,0,0
1160,,Rika Rahmania,5,sebulan lalu,"Enak buat nongkrong. buka 24 jam, vibe nya bagus. Pelayanan nya bagus, staf nya ramah2.   Terimakasih",,Tidak,C28 Urip Sumoharjo,101,enak buat nongkrong buka vibe bagus layan bagus staf ramah terimakasih,positif,4,0,4
1,,Fifi Wulan,5,4 menit lalu,"Tempatnya bagus buat foto setiap sudutnya cantik
Kopinya enak aku coba “palma” enak bgt
Baristanya juga ramah
Coba photoboth jugaa cuma 32 k dapet 2 strip, tambah 10k dapet 2strip lagi",,Tidak,C28 Malioboro,184,tempat bagus buat foto tiap sudut cantik kopi enak coba palma enak banget baristanya ramah coba photoboth jugaa cuma dapet strip tambah dapet strip lagi,positif,5,0,5
2,,Andinni Naila,5,2 jam lalu,"Tempatnya nyaman banget sih buat ngobrol? santai, prlayanannya juga oke",,Tidak,C28 Malioboro,71,tempat nyaman banget buat ngobrol santai prlayanannya,positif,1,0,1
