clean_comment,char_length,word_count,sentiment_label,sentiment_score,confidence,prob_positive,prob_neutral,prob_negative
kalo ngobrol shootnya dua2nya nikmat,36,5,positive,0,0.9964837,0.9964837,0.0025862684,0.0009300485
bjorka kren kyk film film seru,30,6,positive,0,0.934572,0.934572,0.05460228,0.010825633
sim umur hidup keren polisi,27,5,positive,0,0.9786618,0.9786618,0.011570052,0.009768192
bjorka nonton tertawa,21,3,positive,0,0.6091898,0.6091898,0.1940697,0.19674051
intel yg sungguh om deddy,25,5,positive,0,0.94850045,0.94850045,0.04803192,0.0034675978
yg jdi narasumber gue tau orang keren si orang,46,9,positive,0,0.9272952,0.9272952,0.027404781,0.045300115
bjorka ngakak liat,18,3,positive,0,0.73250324,0.73250324,0.022423465,0.24507324
gilak dar der dor fix om ded ken tau pake banget walhasil ilmu yg didapet thanks om ded tim udah ngundang orang yg keren,120,24,positive,0,0.9757159,0.9757159,0.008985441,0.015298751
biar bilang kerja nangkap gak heran weteng coklat,49,8,positive,0,0.61098146,0.61098146,0.0334573,0.35556117
422 sumpah estetik banget transisi halus warnawarnanya bikin adem 855dan musik latar cocok banget,97,14,positive,0,0.9971769,0.9971769,0.002168942,0.0006541972
polisi pintar bukti,19,3,positive,0,0.75339127,0.75339127,0.021370456,0.22523825
katakata no system is safe,26,5,positive,0,0.7394423,0.7394423,0.17841437,0.08214341
bjorka nonton senyum senyum,27,4,positive,0,0.9728697,0.9728697,0.023127975,0.0040022633
kalo bjorka baca bang salam kenal lo keren,42,8,positive,0,0.95333445,0.95333445,0.04164205,0.0050235204
keren om ded ngundang si bjorka asli podcast,44,8,positive,0,0.9843444,0.9843444,0.013783434,0.0018720493
baju coklat wkwkwk hasil jual sawah oyyy karna mampu,52,9,positive,0,0.95835763,0.95835763,0.028865932,0.01277634
polisi indonesia keren,22,3,positive,0,0.9959791,0.9959791,0.0026620806,0.0013588456
jago2 hacker kelas dunia dr indo kerennn dehhh,46,8,positive,0,0.9947279,0.9947279,0.0027464058,0.0025256078
2304 kaya film the contractor 2 anak2 butuh khusus mampu hackingnya luarr biasaa,80,13,positive,0,0.96866256,0.96866256,0.0148656275,0.016471816
reformasi polri cepat,21,3,positive,0,0.8295719,0.8295719,0.14788629,0.022541758
jago nangkep spionsok nangkep bjorka mengtololl,47,6,positive,0,0.49864587,0.49864587,0.015744321,0.48560983
love you bjorka love you,24,5,positive,0,0.9695295,0.9695295,0.028291613,0.002178914
lawa mu sungguh lucu,20,4,positive,0,0.99268895,0.99268895,0.0027399398,0.004571081
suka dengar terang dri teguh,28,5,positive,0,0.9527038,0.9527038,0.046377447,0.00091883517
mudah roma,10,2,positive,0,0.9937641,0.9937641,0.0044366466,0.0017992503
4930 ketawa wkwk,16,3,positive,0,0.58546996,0.58546996,0.19654454,0.21798556
ilmu nyampe nangkap bjorka,26,4,positive,0,0.96633774,0.96633774,0.02749258,0.0061697275
bener w nonton,14,3,positive,0,0.9650617,0.9650617,0.02362597,0.011312365
orng in yg gue tunggu om lu undang terimah ksih om panutan gue in,65,14,positive,0,0.46252263,0.46252263,0.45477667,0.082700714
keren nih jd ide drama netflix om ded,37,8,positive,0,0.9825258,0.9825258,0.015226019,0.002248108
now we re happy,15,4,positive,0,0.88385075,0.88385075,0.109373696,0.0067756097
asik juga855,12,2,positive,0,0.99610174,0.99610174,0.0031818866,0.00071643986
terima kasih udah bikin video keren 855aku dapet banget insight topik angkat relevan banget kondisi sampai gak lebay henti bikin konten makna,141,22,positive,0,0.98847264,0.98847264,0.00920228,0.0023249951
kek udah tenang tenang gtu gak viral si bjorka ehh tbtb berita yg bjorka ketangkep si bjorka asli asik tdur bngun bngun ngakakkkk ngetawain pulisic konoha aja,158,27,positive,0,0.98639476,0.98639476,0.0046204743,0.008984756
brogjoo amrik konoha hehehh,27,4,positive,0,0.72097117,0.72097117,0.17058557,0.108443215
kreatif banget sampai beda betah nonton akhir855ditunggu karya,62,8,positive,0,0.99405706,0.99405706,0.0047272514,0.0012157003
ayo bjorka bongkar koruptor indo rela pajak bayar lu ikhlas gw bukti nya josss,78,14,positive,0,0.8206384,0.8206384,0.021621447,0.15774004
konten bikin betah 855juga bikin betah sampe pagi,49,8,positive,0,0.9937594,0.9937594,0.005533362,0.0007072881
mood langsung kalo main nonton ginian,37,6,positive,0,0.925268,0.925268,0.020506961,0.05422511
denger tuh anak muda gabung klo polisi indonesia bersih kerja nya,65,11,positive,0,0.87442154,0.87442154,0.041484803,0.08409366
lucu polisi indonesia,21,3,positive,0,0.9834796,0.9834796,0.0045022145,0.012018192
gue konten seru seru biar gak badmood gue main nonton ginian,60,11,positive,0,0.9596104,0.9596104,0.016190631,0.024199057
nyala byorka,12,2,positive,0,0.6083271,0.6083271,0.2573056,0.1343673
gak nyangka 855sekeren visual ciamik cerita penuh hikmah untung,63,9,positive,0,0.99510765,0.99510765,0.0034861641,0.0014061767
chattan pake apk dana worth it om wkwk,38,8,positive,0,0.6983065,0.6983065,0.091443375,0.21025011
ommmmm dedi orang bawa flipperzero omm hati hati hahahaha bulan yeayyy catch me if you can mantapp banget,105,18,positive,0,0.98884225,0.98884225,0.0054465397,0.0057112407
ambarawa kuat kuat bang,23,4,positive,0,0.98129004,0.98129004,0.008886759,0.009823203
numpang senyum,14,2,positive,0,0.8788148,0.8788148,0.080588266,0.040597014
liat kualitas ladusing,22,3,positive,0,0.96578205,0.96578205,0.018592212,0.01562571
kreatif banget niat bikin kontennya855,38,5,positive,0,0.99406505,0.99406505,0.0039670654,0.001967818
sistem aman,11,2,positive,0,0.9886674,0.9886674,0.010225352,0.0011071783
keren halhal positif,20,3,positive,0,0.9963168,0.9963168,0.0024556008,0.001227668
komunikasi game om aman,23,4,positive,0,0.98346764,0.98346764,0.0147938505,0.001738556
terima kasih,12,2,positive,0,0.8404969,0.8404969,0.1538689,0.005634128
gua harap si tangkap,20,4,positive,0,0.86318725,0.86318725,0.07241302,0.06439971
kalo konoha hack wkwkwk hebat negeri konoha,43,7,positive,0,0.9221771,0.9221771,0.007925008,0.06989784
gausah susah2 tangkep bjorka tangkep fufufafa aja dlu engga,59,9,positive,0,0.41829264,0.41829264,0.34844527,0.23326208
bg konflik penting,18,3,positive,0,0.929126,0.929126,0.025207197,0.045666784
maaf ora bjorka dah gampang aja milik akun fufufafa berani jujur hebat,70,12,positive,0,0.9006414,0.9006414,0.065209165,0.034149416
no system is safe,17,4,positive,0,0.8000864,0.8000864,0.10447669,0.095436975
bjorwi,6,1,positive,0,0.5077588,0.5077588,0.45522937,0.03701189
bener sih gw main game suka banget pake cheat tengelam cheat cuman bikin flashdis killer ga karna pc rusak,106,19,positive,0,0.95034564,0.95034564,0.015373678,0.03428061
gampang banget nangkap bjorka,29,4,positive,0,0.9868608,0.9868608,0.012194724,0.0009443819
wapres jago ai,14,3,positive,0,0.9827094,0.9827094,0.014006224,0.0032843829
iyaa abg bjorka nya gak hhaha,29,6,positive,0,0.93674433,0.93674433,0.05339736,0.009858305
seru jd hacker yaa,18,4,positive,0,0.97258186,0.97258186,0.007905647,0.019512502
daging makasih edukasi nya om,29,5,positive,0,0.98267466,0.98267466,0.012655228,0.0046702
jamin anti rungkad,18,3,positive,0,0.9777478,0.9777478,0.0068879994,0.015364171
sehat bang teguh,16,3,positive,0,0.99166346,0.99166346,0.006586059,0.0017505226
mudah paulo,11,2,positive,0,0.99008006,0.99008006,0.007917185,0.0020027068
wadidaww,8,1,positive,0,0.89130664,0.89130664,0.009960384,0.09873296
mantap bos dedi,15,3,positive,0,0.9957367,0.9957367,0.003395748,0.0008674659
hitung ngomong simple kali,26,4,positive,0,0.9687297,0.9687297,0.00985066,0.021419616
alhamdulillah 855bikin hibur meaningful cerita relatable hadiah wow,67,8,positive,0,0.94457304,0.94457304,0.05441655,0.0010103517
lite big,8,2,positive,0,0.874136,0.874136,0.11980832,0.006055742
gua suka nonton podkas yg gua benci cc nya gak aktif tdk play ruang sunyi,73,15,positive,0,0.9068123,0.9068123,0.065981716,0.027205924
lucu ga sih kalo bjorka komen video,35,7,positive,0,0.5809582,0.5809582,0.25082472,0.16821712
percaya az,10,2,positive,0,0.9918652,0.9918652,0.006331277,0.0018034667
skimeng carding,15,2,positive,0,0.5871737,0.5871737,0.06981778,0.34300846
ngakak emang dengernya,22,3,positive,0,0.97824985,0.97824985,0.0025534872,0.01919675
heee,4,1,positive,0,0.73865473,0.73865473,0.030916868,0.23042838
0030 wow 855beda banget cerita alir visual kece menang bikin hati layang coba,77,13,positive,0,0.99052536,0.99052536,0.008648414,0.0008262297
ngapain susah susah nangkep hecker mending amann indo ajja kuat lucu nya negri ku,81,14,positive,0,0.95093226,0.95093226,0.0055712895,0.043496493
bahas nigeria plisss,20,3,positive,0,0.74255913,0.74255913,0.06074797,0.1966929
emang it perintah yg kompeten,29,5,positive,0,0.90301514,0.90301514,0.079703465,0.017281387
chat mobile legend seru aman,28,5,positive,0,0.9857517,0.9857517,0.013195369,0.0010528746
percaya ladusing,16,2,positive,0,0.9818402,0.9818402,0.007899629,0.010260077
yg tangkep,10,2,positive,0,0.8393669,0.8393669,0.08961815,0.07101493
fufufafa bener,14,2,positive,0,0.9941795,0.9941795,0.004292717,0.0015277273
emang bjorka nyata,18,3,positive,0,0.973033,0.973033,0.0239065,0.003060511
butuh prestasi,14,2,positive,0,0.96974313,0.96974313,0.014206957,0.016049858
keren,5,1,positive,0,0.99715805,0.99715805,0.0018017855,0.001040098
bitchat aman,12,2,positive,0,0.9700412,0.9700412,0.028036626,0.0019221099
percaya polisi,14,2,positive,0,0.98314625,0.98314625,0.009470996,0.0073828422
podacast dedi cobuzer kan terupdate sukses,42,6,positive,0,0.9541087,0.9541087,0.044303674,0.0015876036
wkwkwk,6,1,positive,0,0.9292605,0.9292605,0.032382514,0.038357
emang ladusing prestasi meres rakyat,36,5,positive,0,0.955701,0.955701,0.0070297704,0.037269283
hahaha,6,1,positive,0,0.9726011,0.9726011,0.008517777,0.018881084
oke udh bahas white hat black hat masuk konotasi sih fleksibel gantung guna ilmu linguistik konotasi positif langsing ramping konotasi netral kurus konotasi negatif kerempeng white hat vs black hat red hat utk pentester penetration testing berat sih pemrogram tingkat yg berat per3tas berat operator bagus utk entry lvljajalminimum,331,49,positive,0,0.47868872,0.47868872,0.18989578,0.3314155
0 prestasi aparat indo,22,4,positive,0,0.8357823,0.8357823,0.15359746,0.010620243
google job,10,2,positive,0,0.63563114,0.63563114,0.28416777,0.08020107
kok kok,7,2,positive,0,0.6127046,0.6127046,0.07659234,0.3107031
hihihihihihi,12,1,positive,0,0.9844099,0.9844099,0.008200767,0.0073893713
wkwk,4,1,positive,0,0.9034015,0.9034015,0.062699154,0.033899322
byorka nya percaya gua,22,4,positive,0,0.9890765,0.9890765,0.0065553263,0.0043682256
ktm409 merinding bzirrrrr gw percaya bjorka jual dawet,54,8,positive,0,0.7466416,0.7466416,0.17937568,0.07398274
mntp,4,1,positive,0,0.7860252,0.7860252,0.03858837,0.17538641
wowo,4,1,positive,0,0.98913634,0.98913634,0.0063784644,0.0044852044
