clean_comment,char_length,word_count
gk validasi rakyat peduli uang,30,5
yg komen bocil,14,3
gachaaeditt gua yg komen gitu udah emakemak bapakbapak cuman lulus sdsmp kayak ga boe cil nonton deddy corbuzier,112,18
kalo basmi korupsi tar abis anggota tegak hukum korupsi,55,9
berhayal,8,1
laku peras koruptor,19,3
main bro tuh data korupsi data koruptor bongkar publik emang aparat aja tutup kuping tutup mata,95,16
tuju bngt nya jabat khusus nya polisi yg jd jahat sragam nya,60,12
buka segimanapun korupsi mata jabat hnyalah jabat tutupin,57,8
bjoarka banter hake pesbuk data urus desa aja pegang data masyarakat desa nya haker kayak dukun 99 bohong 1 cari gratis,119,21
untung byorka,13,2
goesbye suka koment u bro kadang proses korupsi jabat sndri korupsi uang bos nya,80,14
korupt0r pinter bang cerita ott transfer bank rata2 pake cash,61,10
tau celah kpu hack aja laporin polisi byorka bongkar korupsi terima zonk,72,12
arjunarpm1688 fakta bang gw kerja aja level kerja serakah doyan duit yg bedain korup nya jabat nominal aja,106,18
fathorrasi1072 ga apa2 ga pake negara,37,6
bener tuh layak rekrut polri kpk nih penjara,44,8
hukum d suap mo kasih bukti gunung ttp bs lolos,47,10
nice,4,1
patungan bayar bjorka bongkar korup,35,5
ngapain gaji kaga aneh,22,4
duit2 rakyak korupsi sila aja jabat yg hormat,45,8
lu pikir mudah ambil data lurah publikasi publikasi tetap tetap periksa periksa data a z sederhana pikir bongkar bukti korupsi realistis korupsi sederhana buka file data alir uang rumit cabang libat instansi audit proses hukum lap tetap koruptor lembaga resmi bpk kpk adil akses wenang hukum periksa audit verifikasi bukti sah hebat tidak hacker proses hukum valid dipertanggungjawabkan bongkar data konteks timbul fitnah bingung publik adil sungguh,449,67
bayar si bjorkakan motif nya uang simpel,40,7
mesin nine dragon biar managemen konflik rakyat alih berita yg,62,10
yng korup mh lindung bongkar,28,5
donasi byorka bocorin data koruptor pampang data media sosial,61,9
gak jongos pegang akses server negara berani nyebarin data tuan gak kayak juli assenge,86,14
dy kl slruh masyrkt indonesia patungan mmbayar y,48,8
anak ycl wkwkwkwk,17,3
pikir 8090an ommaklum boomer tuirrr,35,5
gak kaya zaman suharto rakyat tunduk perintah polisi,52,8
yamanfarma965 sekali singgung perintah ilang tu orang contoh nya munir,70,10
kalo udah pinter lg yg main judol yg main sistem,48,10
panduabpr ngehack sistem judul biar menang anggap illegal access,64,9
alih isu pangkat tau judyo0l mulu rakyat pikir bodoh gabisa nangkap blokir salah kalo diduitin tangkap,102,16
yg depan mata aja g bs ditangkep org jokowi si silpester msih berkliaran pdhl status sangka,91,16
udah udah kesini malu maluin,28,5
pojok kek deh ketawa bjorka singgasana,38,6
gimana ng primitif klo ilmu lulus dominan sma derajat,53,9
bangun tdr,10,2
pinter gak main judol looollll,30,5
jerapahzbetul,13,1
klo bjorka gak muncul mikir ketangkep beneran,45,7
pojok,5,1
pojok kek anak tiri bgt yah tuh bjorka korban bully,51,10
tanyani emang pinter kayak gimana,33,5
udah bingung naikin percaya publik skema nangkap hacker,55,8
nangimhanang3x,14,1
inti google indonesia apus biar mampus tukang bikin bot judol hapus google tahun lihat akun masuk bikin apk lacak udah gitu aja indonesia main duit duit,152,26
judolll kktnll,14,2
panduabpr amat gw 100 org main judol 80 nya bapak2 jir gw udah usaha ngeliatin kerja judol seenggaknyan 2 org ank muda umur 20 23 an udah renti main kalo bapak2 susah banget jir inti kalo persentase masyarakat banyak gen z milenial udah lumayan edukasi kalo lingkungn gw yah,274,49
rafamuog07 kayak sulit tangkap mata 2 tampil dunia dgn nyata,60,10
ni judol tumben bener,21,4
kopihitam76 jaman 8090an ketat bwang konon buat simpang langsung dor petrus ketat bwang,87,13
ernikrahmawatic3o,17,1
alih isu,8,2
hamidilallam asli banget bang ku gitu kalah berjutajuta utang ingetin udah lanjur kalah berjutajuta stop rugi tmbh parah lucu bilang gin kalas main mah kalah udah,162,26
dagel negara,12,2
pojok tu bang wkwkw,19,4
sih om ded polisi kerja,23,5
iyaa kak polisi salah tangkep orang biarr cair cair cairrr tu bonus,67,12
polisi nama cyber elu ngeremehin bank swis aja ampun cyber indonesia,68,11
g negara police g kerja patroli trus ngapain kerja,50,9
bangkae761 polos banget cyber indo kek ketawa nontonin tu video bilang hibur aja,80,13
atiki1g menghbiskan anggar apbn lindung pejabt br gk dhakimi dbayar tat tet tot d jln rya br bsa godain perwat,110,20
rezahandika7058 hongkong tuh polisi jln kaki keliling g yg curiga tp aman lingkung duduk manis kantor,101,16
gw sih ga ketawa flat aja,25,6
woiii,5,1
dpr bro lupa jg biang kerok,27,6
wajib pasang kendara sablon baju nih katakata,45,7
tangkapppp,10,1
wkwkwkwk,8,1
anjj,4,1
hussssssss,10,1
makasih bro kata2nya buah bahan kaos,36,6
woy,3,1
woiiilah,8,1
bang udah bangg goreng wkwkw,28,5
cookkk uda serius baca gak tau ujung koboy nya,46,9
wwweeeeehh menyalaaa,20,2
jujur bujur gin brok,20,4
cerdas bet abang ni trimakasih bang wakil,41,7
magsud ladusing 62,18,3
ngintip,7,1
cocok tulis truk,16,3
njiirr,6,1
mantap,6,1
gak takut suruh klarifikasi lo bang,35,6
waduhhh,7,1
pemuda pancasila preman pasar gimana bang,41,6
pelan2 woiiii,13,2
gitu laaahh ga buruk kali klo polisi nyomotin mayat2 korban mutilasi tebar udh busuk udah ga bentuk orang2 korban celaka yg udah ancur lebur ga karu2an orang yg kegiles kereta api yg udh serpihan2 ente org liat darah tetes aja udh semaput,238,42
love bjorka,11,2
makasih dukung gw,17,3
hibur data jual swasta hibur,28,5
data kau jual hibur tw data kau salah tindak kriminal nipu kau hibur dikatain sdm rendah ngamuk,95,17
kalo indo jalur rekom teman relasi alumni keluarga,50,8
sawah facebluesmiling facebluesmiling facebluesmiling,53,4
farzx3428,9,1
krn ijasah jilat rusak bgt nii,30,6
kalo nyari pimpin,17,3
apas,4,1
wanjirrrrrrr iya iya sadar akuu,31,5
haha,4,1
sijoko,6,1
berat jujur jujur berat lo jujur 100 jujur,42,8
mukidi2014 kirain sie maniss,28,4
orang jujur habisin kak wkwkwk,30,5
reall,5,1
gak nutup hacker aja bongkar busuk yg negara males aja negara aja diobrak abrik hahahaha,88,15
orang pinter cari orang jujur benci istri,41,7
anak smp gak baca jam analog aja wkwkwkwkkkk,44,8
orang jujur cepat hilang,24,4
netizenmana lu ngapa dah,24,4
netizenmana gak knapa knapa,27,4
betulll,7,1
daya,4,1
satire or sarkas,16,3
se7,3,1
jujur jomblo,12,2
lebih orang malas,17,3
revanoficial1292 wahahahaha,27,2
mindset udah tanam jujur singkir,32,5
sumpah ngakak sakit perut ketawa om ded nular benar2 puas bgt ketawa nya,72,13
tni ngetawain polri,19,3
xpresi om dedi narasumber solah nngetewain kerja polisi yg nangkap byorka ngga enak,83,13
randasofyanbukeranda3194 lelucon parah om ded,45,5
nangkep maling motor gee ga amatir y,36,7
jadi meme biar malu tujuh turun polri,37,7
konpers bjorka udah tangkap ntah siapa tangkap,46,7
strategi untk pancing bjorka yg asli tu muncul dng aku tk tertngkap,67,12
kosong emng,11,2
thumbnailnya lucu bgt sumpah darkkk,35,5
yaa gimana masyarakat aja hobby makan berita verifikasi wkwk,60,9
biar liat kerja aja,19,4
kayas86 tp bjorka tdk sebodh pancing,36,6
emang arepin orang masuk aja pake salah,39,7
gimana lulusa sma kalo terima langsung mikir nikah modal gimana wkwk,68,11
bjorka alih issue noh liat kilang pertamina ledak dumai abs it polisi press release nangkep bjorka trus bjorka asli kluar share data polri akhrnya kta fokus bjorka mlah gk nuntut tuk usut knp kilang pertamina ledak udah bjorka kerja oknum tuk alihin issue gede fokus usu ledak nya kilang minyak pertamina,304,51
nyari simpati xl nyari empati empedu,36,6
malu,4,1
asli dah,8,2
stuju sih,9,2
ngetik ngarang ga lucu,22,4
jd keinget film accountant2 yg anak autis tp hebat hacker,57,10
iqmanfaturansyah abang ngerespon menit 2300 mo ngelucu,54,7
tunjuk hihihi,13,2
jgn dogging jgn doxxing,23,4
titikk terendahh manusiiaaa hiduppp duniiaaa adalaah jadi polisiii indonesiaa bebann bagi rakyaaaaatttnyaa setiaaapp kali sayaa dengerr polisiii terasaaa sakiiitttt ni hati cumn gara2 uang 150 ribu sakiit hati ampe gk ilang bnyk org 150rb nominal yg duit segitu udah ckuplah uang jajan keponakan semingu cerita jenguk ponakan yg pondok rencana duit keponakan ehh ampe tuju udah makaann ama yg nama polisiiiii,408,61
btw kaya kk perempuan panas trus suntik lumpuh smpe sekrng,58,10
spartacus syndrome,18,2
samma,5,1
teori primitif banget inti mreka gamau ribet ah udah vonis aja yg,65,12
lucu negara polisi mesthinya pinter cerdik tp salah tangkap yg yg tangkap salah konyol,86,14
iya ngakak bnget bikin akun nama prabowo presiden wkwkwk,56,9
yg bayar emang lo pikir bjorka ga butuh duit makan minum,56,11
daengriyung1892 tuju kalo biar negara semrawut andai masyrakat jaman jajah mikirin makan minum cuek mending gabung jajah biar aman jamin sandang pangan papan ngapain juang merdeka gak bayar gambar nya,200,30
gak mudah nyuruh tau yg lue laku timbang terima resiko nyawa lue anggota keluarga yg taruh,90,16
daengriyung1892 jiaaah makan minum lu pikirin alternatif yg yg nama nasionalis mah kaga mikirin bayar,101,15
ajar beda blackhat whitehat greyhat kira2 bjorka identitas,58,8
sen lu udah gw baca,19,5
dh gw baca nih trs yg hrs gw lkukan brp imbal,45,11
puja muji jabat poltikus busuk hancur negeri halus,50,8
yakali jahat gimanapun data lu bocor gara gara reaksis perintah bikin rakyat kesel gabisa dipungkiri bjorka jahat bawa bawa nasionalisme kwwkw kocak,148,22
lu kocak,8,2
thus spoken bjorka nggih mbah,29,5
daengriyung1892 bang bjorka mah gampang nyari duit makan minum ngpain pikir kesana,82,12
ehh btw cipta al goritma orang religius loh lu al khawarizmi orang liberal beliau ulama abbasiyah,97,16
fahrifadliv7y,13,1
moga real bjorka hackers yg jiwa semangat patriotisme rampas asset2 koruptor miskin publikasi data detail nya oknum2 parcok yg sdh gemuk makan duit haram,153,24
yak sodarasodara scorenya bjorka 1 polisi 0,43,7
gua bjorka nonton podcast ngopi ketawa ketawa polisi konoha gin yak,67,11
nangkep bos bandar judol susah nangkep hacker bjorka gampang hebat isilop negara cinta puji kerja masyarakat,108,16
om tuju cara2 nya sayembara temu celah yg perban pentest aman cyber,67,12
kpu bener nyari orang kpu tau nama lengkap lihat alamat yg cari jelek banget sistem,83,15
bjorka ketawa puas liat laku polisi,35,6
nangkap bjorka kerah sumber daya gin besar tp nangkepi jud0ljud0l purapura bego aih emang keren respect,103,16
plot twist nya bjorka nya asli teguh aprianto ajak deddy corbuzier podcast v,76,13
ketawa bicara kasar kecewa emang reformasi total sih coklat,59,9
gue berfikir anak anak indonesia yg emang bener jago dalam dunia ithacker yg dibicarakn podcast sayang perintah indonesia atensi khusus anak2 oknum2 atas yg keras kepala jago menerimamengalah anak anak yg bakat mahir dal itcyberhacker arti oknum2 keras kepala ruang anak2 skill better cerdas lebih oknum2 sokjago keras kepala kalah anak anak hasil salah tangkap orang wkwkwkw,375,57
gw udah deh cyberpolice gk sibuk bjorka tuntasin aja judol sampe beneran bersih prestasi atas tangkap bjorka,108,17
cuman roy suryo rismon nangkep bjorka,37,6
bjorka nonton gaduh ngemil kacang,33,5
drama bjorka tangkap yg perintah konoha karna dana haji pindah bank bsi yg kemarin serang perintah cuci tangan cerita nya percaya masyarakat tumbuh dana haji ga lo kemarin bsi nasabah haji pindah tabung haji danembuat rekening sadar tumbuh dana bsi lancar dampak muhammadiyah cabut dana bsi asli nya bsi goyah ampuh orang awam udah tau busuk nya birokrat negara apa yg laku tahu jaman maj,388,65
anak bangsa jadi scurity cyber indonesiatenyata anak indonesia pintar2,70,9
waduhhh podcast chaotic dalem banget deddy kayak santai tanya nusuk topik gila sih anak punk sampe bjorka bahas wkwkwk lucu iya mikir iya pokok episode campur aduk nagih banget tonton sampe habis,195,32
programmer erti betapa sistem aplikasiwebsite indonesia gampang retas web perintah orang kompeten incar gaji coba kalo buka lowong kerja modal kenal kompeten bidang,164,23
dr berita bjorka ketangkep gw percaya si syahroni hamil lucinta luna,68,11
et percaya institusi beli robot prototypes dipakein seragam,59,8
kek udh 2 deh jadi,18,5
20 gak sih,10,3
udah telak brp kali jago ngepress warga doang mrk mah,53,10
polisi miness kak,17,3
10 0 bang wkwkwkwk kalo interpol gerak gw percaya,49,9
kocak,5,1
polisi tangkap yg bnar kbnykan slh tangkap kblet pngkat,55,9
30 x kehack salah tangkap 2x,28,6
bjorka 3 polisi 0,17,4
3 telak,7,2
gambaralamkois6801 malu gk sih oknum,36,5
zienuart yes yg tukang es,25,5
2 0,3,2
30 balas bre,12,3
polisi 10,9,2
bjorkan all in,14,3
kalo maen bola rental dah more and more and more,48,10
komen judol gak tanggepi,24,4
udah 20 kemaren tukang es keliling tangkap anak punk,52,9
gin orang pintar masuk polisi,29,5
udh 20 bng,10,3
inimah masuk tko,16,3
30 0,4,2
iya orang indonesia notice channel yg bahas,43,7
bjorka anonymous individu pake nick bjorka wkwkwk orangorang cerdas,67,9
gampang salah jir tuh anu,25,5
bjorka tangkep bjoker malu,26,4
awokawok,8,1
aneh tegak hukum indonesia,26,4
loh kemaren tangkep org ngerusak sistem judol sampe rugi bang wkw,65,11
knp hacker lokal pergi nagara laen keja ilegal ni nagara merka bgus tp gak kerja dngan nagara merka labih pnting ambil dnaraga laen sprti kamboja gk harga co nagara sndri,170,30
bandar judol tangkap lawak baru bos,35,6
bos judol bandar judol ditangkep trs besok gk dapet setor donk,62,11
takut kalo bjorka mebocorkan data yg beking bandar judol,56,9
jauh cctv aja blepot,20,4
gw cyberpolice nangkap bjorka nangkap bandar judol yg mudah telusur aja alas fokus blokir puluh ribu situs web gk periksa rekening yg ad situs kocak,148,25
tangkep rugi bandar,19,3
bjirka,6,1
tw sendiri broo duiiiitttt,26,4
nangkap nipu bandar judol hebat facegreensmiling,48,6
nangkep fufafa aja susah,24,4
susah bos nangkep bandar judol server indo ngakses negeri yah tau negara kalo mw berantas judol mah sulit,105,18
yg berantas judol2 mengkominfo tau kureng2 internet cepat,57,8
kocak emng tegak hukum indo gtu wkwkw,37,7
rumahproduksi kerja capek mending gak bkerja tp gaji,52,8
nangkep bjroka gampang recovery nyimpen barang bukti cctv gak kwkwkw,68,10
tau nya salah tangkap,21,4
rumahproduksi gin bang lu tau jual atm2 kosong akun atm kosong beli milik judol kedetek tangkap orang2 ngaku ngejual atm kosong ngeblok situs mengkominfo kureng2 cyberpolicepun mayoritas paham networking reng bro negara angkat para2 hacker programer indo cyberpolice masuk cyberpolice polisi2 sana gak tw networking susah dalemin negara aja gak mw invest ngangkat hacker programer handal indo specialist sana dah kasus mw dipanjangin,433,63
telusur orang2nya negeri yg judol2,34,5
jng salah boss dn bandar judol tu d keliling hacker2 yg handal untk jaga dn mengamankn judolnya knpa susuah jg org hack situs2 judol,132,24
isilopisi amplop,16,2
kayas86 udah kedetek bandar2 judol lokasi gimana nangkepnya negeri udah internasional itungannya nangkep koruptor lari negeri aja ribet proses judol bandar sana nyuntik duit perintah gimana nangkepnya,200,27
nangkap maling aja d bantu warga harap,38,7
bandar judol d tangkep kalo d piara pastisetorannya gede bos,60,10
nazwashaqifachannel1231 bjoker bang bjirrr,42,4
bener banget,12,2
salah tangkap,13,2
bos judol tangkap buka situs judol seponsor utama liga inggris 1015 team liga inggris sponsor baju nya judol,108,18
ngapain nangkep bjorka benerin sistem spy ga gmpang bobol,57,9
rumahproduksi judol pst aman org dpt ceper dr situ gede lg ga mngkin hapus judol jd trima aje wkwk,98,19
suruh bjorka rampok duit koruptor nt bagi2 sm rakyat,52,9
pol nya nangkap kadal dpt nya cicak,35,7
ga nangkep curanmor aja,23,4
bandara judol backingi anggota,30,4
lindungin berita,16,2
tangkap bjorka bijirka,22,3
fufufafa 4615,13,2
orang ngasal d tangkep hacker ga nangkep judol emng melihara jgn pd lupa sm sambo yg ngebacking judol,101,18
bos bandar nya bayar gede bro smpai ga ketangkep klo ketangkep keroco doang,75,13
ladusing nangkap bandar judol asa tangkap rugi bandar judol deh,63,10
danain negara tu judol moso nangkap bandar rugi dongggg,55,9
tepuk tangan cuuiihh,20,3
fuadbarokah negara invest nya anggota dpr bumn bro,50,8
ketangs bjirka,14,2
rizkydavinci asas praduga salah maksud negara milih invest anggota dpr bumn tenaga ahli hati2 lu ntar tuntut 125 t,114,19
emang ketangkep kaga,20,3
iya kalem,9,2
tangkap main judolnya bandar keren polisi indo,46,7
polisi konoha asli tukang tipu,30,5
polisi kont,11,2
boss intel si bg nyambi lindung bandar,38,7
ladusing duit dlu jalan,23,4
waismuvie1 bang beliau sarkas loh,33,5
tompimanurungdh3sf judol lokal skrg byk website2 judol buat bandar lokal uda byk kudet bre uda spill buat website nya,117,19
indo yg ngerugiin bandar judol yg tangkap nya ehh,49,9
solidupvc,9,1
yg megang judol oknum p gmn nangkep,35,7
isilop bang,11,2
bandar cuan isilop gk bklan hilang bandar judol bandar ubas,59,10
nangkap salah tangkap,21,3
selamat lolot prestasi baru,27,4
polisi konoha bang polisi negara cinta,38,6
bandar aja bikin lapor rugi gila ga tuh akwowkakwoako,53,9
duit ngak main ketangkep bang,29,5
layan tulus hati biaya pungut biaya,35,6
thekatzenbergbismillah assalamualaikum jual rumah dgn harga tanah kosong luas tanah 700m luas bangun 500mpersegi cocok usahadan rumah pribadi lokasi jln kedung baruk no 140sby timur persis indomart rumah ininol jln raya jual cuman harga tanah kosong sajasurat shm ready 14 kamar kos penuh hun,292,44
agussv2u woy jgn doxing klw mw dagang silah posting channel pribadi atw channel khusus dagang,93,15
maluin udah prestasi,20,3
thekatzenbergkesempatan langka beli rumah rumah incam nya tahun 75jt jual harga tanah lokasi strategis keliling 5 universitas besar sby hotel besar indonesia lokasi jln kedung baruk no 140 kec rungkut sby luas tanah 700m luas bangun 500m,237,37
polisi duit duit judol fufufafa masak bodoh,43,7
bandar judol nya aj yg main gak ketangkep yg tangkap main yg rugi bandar judol konyol,85,16
okynurfattah wkwkwkwkwk player ditangkep sesuai lapor masyarakat,64,7
kompetisi bug hunter sih tau bang,33,6
numpang komen om mampu gak pusat bang arah nasionalism gak perhati gov btw bjorkan gak sih kalo doi sebenernya cuman ter center data mudah bocor example data disdukcapil partial data contoh by profesi yg contoh kemarin isilop tinggal partialing aja by job 1 data olah olah aja,276,47
video gk siiih,14,3
dah jaman qris e wallet,23,5
kaya dalam polisi lihat jejak digital rekrutmen naik pangkat polisi terjun daerah operasi militer dalam negeri negeri itu pangkat kopral sersan tni,147,22
gw sih gak ketawa geleng geleng kepala,38,7
leoja4368 tepok2 jidat wkwkwk,29,4
sok tau dagang donat,20,4
nutupin pertamina ga sih,24,4
bapak2 pramuka emang cocok main api unggun,42,7
skin police saber recall2 ngekill,33,5
ga puas kek kecewa ilopsili,27,5
komennya om ded judol,21,4
duit bossss dekengane dewe,26,4
bukti lembaga ciber polri kualitas sedih,40,6
gak pura2 bego gimana bro yg ditangkep yg ngidupin,50,9
admin judol aja udh gak takut sma kmampuan ahli cyber kpolisian,63,11
sebenernya kalo lu paham sistem informatika lu tau sih kalo nyari data buat website tuh sulit nyari data milik akun sosmed kalo bikin web bayar nya via satellite yg indo sih mudah kalo make satellite orangorang yg pilih ga test komputer bobol website nya ambil data,265,46
gak coklat mesti revolusi total sektor bapuk indonesia mas untung sdm kalo gak udah zimbabwe ni negara korup ribu t negara mas diri orang aja heran,147,26
si coklat resah d tmpt gw krn cm kota dsini jarang kerja si coklat cm voly sepak bola basket pagi sore kl lapor terimakasih km proses bertahun2 gak kabar smp skrng,163,31
hahahhhaha bener revolusi totalparah udah,41,5
tetangga gw oknum mantan coklat alias pensiun arogan rese ma tetangga dy renov rusakin rumah gw gw betulin gak ganti rugi gak maaf,130,23
narasumber podcast aja males urus instansi perintah penting pribadi,67,9
ntr ga cuan gmn sih,19,5
penjinakboommmm cocok boss,26,3
polisi ga tp ga,15,4
judol salah hasil yg gede isilop kalo bandar ditangkapdibrabtas ntar ngga dpt duit,82,13
aja gampang gk jalan alir dana nya,34,7
nyari hp ilang buka cctv aja gk nyari hacker,44,9
resin majikan si wkwkw,22,4
ngga kak ngga dapet uang samping ngga bsa hidup hedon aset,58,11
lahan basah ladusing gk musnah,30,5
mariasyarif884 emang gabisa krna mampu polisi indo ga,53,8
gw kasih tau judol ga berantas atensi gede cuy,46,9
rugi donk gak cuannya kerja bakti,33,6
wkwk bener,10,2
gokil cengengesan v,19,3
makan mie ayam nonton ni video,30,6
ngemil cip kacang,17,3
lu pikir film,13,3
minum soda kayak pilem pilem,28,5
ngopi zuzu kayak,16,3
kacang macadamia,16,2
tdk mnguntungkn mreka jd ga ush ajak,36,7
perintah aib buka wkwkwkw,25,4
keponakan ga ajak,17,3
ahli cyber security indonesia ga untung wkwkwkwkwwkwkwkwkwk jegal orang penting,79,10
udah ajak ga karna polisi tameng jadi penting yg bilang,55,10
password nya admin123 bang wkwk,31,5
jelas uang gampang ubah pikir dikonoha,38,6
tau keinget bang teguh kalo ngebuka pass wifi mudah yg masuk sembarang wifi yg nonpassword bahaya perangkat udah hubung,119,19
webnya gampang banget deface,28,4
web perintah aplikasi cuan aman cepat,37,6
tanya sederhana cari yg kompeten nilai klo kandidat kompeten gumana sdgkn perintah msh colong hacker,100,15
kkn xixiixxi 2 minggu berita nihh stay tune,43,8
telkomdso123,12,1
budaya orang dalem gitu yg ajak tdk kompeten kerja nya parah nya bidang nya alam kerja yaa gitu dah gmpang retas,112,21
cheazet1haku yg pake wifi bangun pesantren rumah ku apa ustadz bjorka,69,11
udh gitu harga aplikasi triliun lg,34,6
kadang ditawarin third party bikin webaplikasi perintah tolak dana yg tawar 12 jt atas ratus juta proposal programmer alhasil sistem sesuai budget,146,22
hellapras sistem perintah bahan bagus aj harga sesuai tawar aj project perintah swasta berbelitbelit oknum yg bikin ribet tim yg profesional sertifikat manca negara sih bayar lancar sekian persen gitulah embel best quality kerja swasta aj kurang bahan modal siap klo swasta hasil project syukur komplain sesuai sepakat tim kerja kasih layan bagus,346,53
bjorka yg ngomong,17,3
wuanjay hahahha,15,2
ancok faktap,12,2
hahahahahaha sumpah gokil komen lo bang gw ketawa ampe nang,59,10
idih amit2 bom muhrim,21,4
ketawaa guee anjirrr,20,3
muhrim,6,1
cok kemekel aq moco komen lu,28,6
ngakak guling guling,20,3
puncak komedi polri cuakkkxxkxk,31,4
gue pikir video seru seru,25,5
indonesia orang kompeten it tp kerja perintah banyak kompeten it wawas it nya bilang 20 30 hnya gelar paham teori it yg ahli ahli it mampu it nya mumpuni otodidak lgs praktek yg lihat mampu cyber security instansi perintah mudah jebol yg kritikal dasar tp beli tau yg beli beli software kam jaring byk lemah system kelas perintah alokasi dana aman gede aman data nya jaga beli kam software ga mudah tutup celah system makan yg pntg aman system jaga instan al hasil zonk keamana cyber security nya,496,88
nyari hp ilang aja ribet nagkap hacker,38,7
bro teguh narasumber yg asik jelas logic serius tpi vibe nya santuy,67,12
bjorka clown laughing at you,28,5
1750 ulti teguh,15,3
gw inget baca teroris isis ledakin bom bunuh perancis november 2015 100 orang tinggal kordinasi pake fiture chat ps5,116,19
vibesnya kayak video fun parah,30,5
bjorka ketawaaa ngakak pojok,28,4
komunitas anak2 it latih hacker kayak ga bayar krn bocah ga duit ikut latih tsb legally jual mampu perusahaan2 system bocor bayar lumayan,137,23
alur cerita 11 12 vina cirebon ujung nya rakyat jelata yg jd kambing,68,13
kayak omong mahasiswa yg bilang polisi kuliah bener dah biar ilmu,65,11
polisi indonesia nangkap bjorka nangkap koruptor dalam gedung dpr,65,9
niat pahlawan eh blunder wkwkww mampoosss makan tuh neng banget gw liat asli,76,13
bjorka v for vendetta,21,4
ribu perintah serta instansi2 busuk indonesia usaha nutupin kasus2 gede tuh alih isu biar masalah2 tutup lupa masyarakat contoh bjorka muncul sambo muncul data2 polisi tuju alih isu ijazah jokowi masyarakat tekan memviralkan perihal ijazah open your mind guys and open your eyes sampe bodoh buta perihal kasus2 kawal ijazah jokowi politik bjorka isu usaha naik lupa,365,57
kalo biorka bobol dn bntu kasus2 indo orang,43,8
3 lucu hasil nangkap bjorka,27,5
gaya bicara penyampaiann aa teguh enak banget,45,7
lapor mmbobol rugi bndr judol trs lanjut kmaren gimna,53,9
niat ny mbil hati masarakat dngan nangkep bjorka eh an bjorka dn masarakat,74,13
bobrok nya sistem polisi nkri senangin atas,43,7
puncak,6,1
biar bilang polisi hebat biyorka asli nertawain,47,7
cuuaaakkkkkkk,13,1
pertamina,9,1
lucu asli,9,2
kompetisi stand up komedi kompor gas,36,6
numpang ngakak aja dah,22,4
bener bet,9,2
jabat gak aware cybersecurity bikin apps bejibun mau cepet slesai jalan ngasal bikin,84,13
hp motor aja udah plat nomor gak urus,37,8
dvnolivia nyari adil susah bettt,32,5
mudah aja kalo n,16,4
yoi kalo gaada duit nya,23,5
lapor ip 15 ilang kasih 1jt ketawain,36,7
tau bjorka yg lucu om ded ngobrol orang kemaren om ded aaja gak tau,67,14
semutmerah8658 iya konten yg,28,4
anak it emang gitu gaya nya bang,32,7
clay,4,1
serang teroris paris 2015 bukti make chat ps5 bang ps5 rilis,60,11
ngaco ps 5 udh nongol 2015,26,6
masuk komunitas nya gimana anak it gabung,41,7
anak kursus online free 7 kl pro byr tp msk komunitas pc hrs bgs anak bljr dr umur 10 thn kls 6 sd skrg udh kls 10tmnnya dr india china rusia,141,31
udah mah kerja it security audit bankingtelco divisi internal,61,9
bug bounty,10,2
miegoreng8902 ngerti mustinya anak it klo ga tar ngangngong ngangong ga sih,75,12
dianayuli7823 tau mba klo sptnya on site kayak online blm cerita ngomong maknya banyak ngomel kuliah,100,16
felniode nampaknya tp kayak outsource project lumayan banget banget klo mahasiswa yg kuliah ngerjain ginian,107,15
relevan,7,1
kalo vina garut gimana banj,27,5
kanjoed udah ga zaman wkwk,26,5
kanjoed wkakaka wina garet dah keriput lower,44,7
kanjoed astagaaaaa,18,2
bjorka jd alas genosida,23,4
sandiwara doang biar liat kerja ngalihin berita ijazah mulyono eh tau blunder,77,12
koroptur beda lg mas naung polri utk lidi,41,8
klo koruptor emng peliara bang,30,5
paham maksud,12,2
sekolah bener broo polisi nangkap koruptor orang dpr,52,8
maling ketangkep warga bawa polres suruh lepas,46,7
alat,4,1
alexanderhaposan9765 sekolah gak bener gua lulus sma kerja ditaiwan bro lu sekolah nya bener kerja gaji,103,16
nitasulistianiw8e,17,1
jobdesnya polisi bang,21,3
keren nya gak usaha nyapu aja buka,34,7
biar liat kerja udah rencana reformasi ga ngalihin berita ijzah mulyono,71,11
deym udah nama,14,3
bocil tau banyak nonton film hacker wkwkwk,42,7
legend of zelda,15,3
mohfahrezyramadhani1944 iya wkwk bgt gak inget film,51,7
masuk akal,10,2
klo uwang nya oke klo gada ngapain cape2,40,8
nangkap bjorka mending nangkap admin bandar judol indo legal judol judol biarin aneh aneh,89,14
justryujiin hilang pasu polisi india,36,5
justryujiin lu pikir mudah nangkap boss judol judol tu bayar hacker2 handal untk scurity situs2 ny tidk bs d bobol org,118,21
lucu polisi,11,2
satria dharma bijaksana,23,3
kayas86 trus lu pikir nangkap hacker mudah boss judol,53,9
kayas86 orang mreka dah tau bos judolnya bos,44,8
familiar gaya bicara alun tata bahasa hmm,41,7
pen yaa,7,2
istimewa,8,1
bjorka anonymous gak sembarang ketangkep,40,5
nihh suara nya anak anak startnethunter indonesia ga kurang orang pinter kurang orang jujur,91,14
pake metode pas nangkep pegi alias ong dlm vina isilop isilop,61,11
cobak om bahas undangundang ampas aset point unjuk kemarin sampek dpr benarbenar sahkan ngundang orang dpr langsung,115,17
plot twist nya bjorka yg wawancara dipodcast,44,7
polisi nagkep maling aja gak becus nagkep haker,47,8
